"variable","State.Abbr","value.mean","value.sd","value.0%","value.2.5%","value.25%","value.50%","value.75%","value.97.5%","value.100%"
"ntheta","IA",  5.324029933, 2.06526033, 2.679281e+00, 2.922805e+00, 4.162152e+00, 4.955689e+00, 5.927293e+00, 8.996299e+00, 9.537044e+00
"taus","IA", 34.347687814, 9.32485200, 2.442425e+01, 2.477142e+01, 2.850652e+01, 3.307361e+01, 3.620219e+01, 5.144453e+01, 5.397128e+01
"taur","IA", 49.461832135,11.01406664, 3.656900e+01, 3.686461e+01, 3.870670e+01, 5.044800e+01, 5.967497e+01, 6.137209e+01, 6.171658e+01
"rmax","IA",  0.667397287, 0.28727959, 2.154511e-01, 2.479828e-01, 4.878259e-01, 6.577497e-01, 9.362385e-01, 9.888437e-01, 9.917193e-01
"treopen","IA",112.414033941, 9.02896790, 1.015856e+02, 1.024572e+02, 1.065879e+02, 1.096217e+02, 1.172915e+02, 1.278893e+02, 1.298565e+02
"log10ys","ID", -0.119678360, 0.35137995,-9.868307e-01,-8.192186e-01,-2.687299e-02,-4.359282e-03, 2.122917e-02, 4.037118e-02, 4.143196e-02
"thetamin","ID",  0.487893889, 0.26103964, 1.888405e-03, 4.418653e-02, 3.964393e-01, 5.281270e-01, 6.516164e-01, 7.981485e-01, 8.191676e-01
"tautheta","ID", 20.265905903, 2.17644629, 1.588518e+01, 1.631259e+01, 1.961405e+01, 2.097607e+01, 2.168939e+01, 2.230480e+01, 2.238617e+01
"ntheta","ID",  3.817436558, 0.78747533, 2.791833e+00, 2.849536e+00, 3.514740e+00, 3.849929e+00, 3.895237e+00, 5.203939e+00, 5.477613e+00
"taus","ID", 25.318452074,15.64243525, 6.051500e+00, 6.645343e+00, 1.612383e+01, 2.370707e+01, 3.163048e+01, 5.112600e+01, 5.397128e+01
"taur","ID", 48.804946950,17.61255446, 2.859935e+01, 2.867947e+01, 3.419753e+01, 4.638224e+01, 6.363482e+01, 7.155937e+01, 7.156144e+01
"rmax","ID",  0.808889789, 0.31791929, 3.194111e-01, 3.337498e-01, 6.104968e-01, 8.748366e-01, 1.073452e+00, 1.140892e+00, 1.146624e+00
"treopen","ID",105.584357976,13.88353758, 8.766360e+01, 8.831154e+01, 9.750731e+01, 1.040639e+02, 1.118496e+02, 1.278622e+02, 1.298565e+02
"log10ys","IL",  0.055975967, 0.14862581,-3.037600e-02,-2.787185e-02,-4.672975e-04, 8.713435e-03, 2.073252e-02, 3.531751e-01, 4.204579e-01
"thetamin","IL",  0.416494960, 0.24522823,-1.474504e-03, 2.563864e-02, 3.185840e-01, 4.652857e-01, 5.268441e-01, 7.467911e-01, 7.800791e-01
