iter	GM_NInit(1)	GM_TIsolation(1)	GM_R0(1)	GM_c0(1)	GM_TLatent(1)	GM_TRecover(1)	GM_IFR(1)	GM_TStartTesting(1)	GM_TauTesting(1)	GM_TTestingRate(1)	GM_TContactsTestingRate(1)	GM_TestingCoverage(1)	GM_TestSensitivity(1)	GM_ThetaMin(1)	GM_TauTheta(1)	GM_PwrTheta(1)	GM_HygienePwr(1)	GM_FracTraced(1)	GM_TPosTest(1)	GM_TFatalDeath(1)	GM_TauS(1)	GM_rMax(1)	GM_TauR(1)	alpha_Pos(1)	alpha_Death(1)	LnPrior	LnData	LnPosterior
640	2090.19	7.67578	3.45606	18.5112	2.11136	10.9542	0.00645957	83.6291	3.77733	8.77635	1.37081	0.258419	0.680575	0.59208	19.1717	 5.55	0.654942	0.178923	13.6191	1.74251	27.286	0.433018	 51.8	7.42875	9.03724	-4.822809e+01	-1.065956e+03	-1.114184e+03
650	2224.72	13.6531	3.48826	16.0488	2.22644	10.9542	0.00645957	84.2894	3.77733	9.25955	1.24875	0.227908	0.741593	0.589532	18.606	4.00829	0.602887	0.204767	13.5626	1.50123	29.3432	0.40495	47.2589	5.78824	8.07855	-4.738213e+01	-1.061408e+03	-1.108790e+03
660	2002.07	17.9323	3.59649	19.0945	2.18966	10.9542	0.00707184	83.8249	4.18229	9.3733	1.92585	0.234769	0.747735	0.574838	18.1946	3.14388	0.57199	0.191939	13.445	1.74681	39.3422	0.543942	54.8836	4.47391	8.02447	-4.877709e+01	-1.060059e+03	-1.108836e+03
670	2112.86	17.0982	3.61519	14.256	2.30084	11.0869	0.00709709	84.5443	5.24967	6.34807	1.81542	0.207596	0.616959	0.569196	18.9585	3.67867	0.556135	0.184931	13.4656	2.60127	36.3286	0.362331	46.1566	6.65816	8.02585	-4.674372e+01	-1.062295e+03	-1.109038e+03
680	2042.68	19.8509	3.61234	17.5158	2.42315	10.6774	0.0066078	85.0329	5.30904	8.85816	2.40092	0.235827	0.637454	0.561569	19.6832	4.87662	0.544804	0.213772	13.7974	2.8155	32.1738	0.475998	45.0595	6.44048	8.09833	-4.664661e+01	-1.061919e+03	-1.108565e+03
690	2117.69	16.5919	3.60321	12.9499	2.55864	10.8248	0.00697809	83.4241	4.04408	11.4263	1.77143	0.237866	0.663507	0.563604	19.9505	3.61408	0.558228	0.224846	11.0001	2.55669	35.8814	0.547691	47.4945	4.83752	8.23899	-4.663508e+01	-1.060651e+03	-1.107286e+03
700	1992.25	14.4014	3.56451	12.3016	2.34005	10.7636	0.00679469	85.608	5.25489	8.23826	1.81188	0.247496	0.641877	0.580833	19.8853	4.87208	0.602566	0.220887	11.3977	2.68741	37.0665	0.655418	50.9274	5.20541	8.00582	-4.667734e+01	-1.059955e+03	-1.106633e+03
710	2032.03	9.50825	3.61063	11.4625	2.48207	10.7608	0.00690207	85.608	4.32688	9.64873	1.15461	0.2766	0.648859	0.572427	19.9601	4.84452	0.63677	0.21448	12.8651	2.35266	34.5816	0.573028	45.6798	5.89771	8.30807	-4.651115e+01	-1.058899e+03	-1.105410e+03
720	2216.87	12.0831	3.53499	17.635	2.44721	10.7608	0.00761238	85.9555	3.86494	8.75151	1.8799	0.283773	0.66494	0.557724	19.9263	5.00384	0.637044	0.17407	9.50532	2.63256	32.2401	0.604903	38.3739	5.01501	8.24927	-4.571343e+01	-1.061888e+03	-1.107602e+03
730	2211.95	7.33897	3.61282	15.8221	2.47868	10.662	0.0083508	85.5963	4.54759	10.8545	1.70296	0.369606	0.689296	0.555133	19.7738	4.04725	0.647713	0.155503	10.367	4.13482	39.7098	0.524394	37.5662	5.64473	8.02854	-4.551791e+01	-1.062411e+03	-1.107929e+03
