"","Date","Output_Var","state","Data","Training","Prediction.2.5.","Prediction.25.","Prediction.50.","Prediction.75.","Prediction.97.5.","in.IQR","in.CI"
"1475",2020-07-15,"death","CO",1594,"Training",1466.731343308,1718.585343216,1912.314980992,2140.343650384,2648.5472074584,FALSE,TRUE
"1476",2020-07-15,"positive","CO",37686,"Training",32885.813326972,35561.54810296,37114.4776464,38640.67225796,42198.809513124,TRUE,TRUE
"1477",2020-07-16,"death","CO",1601,"Training",1478.1234188316,1732.072302928,1925.300930672,2155.961342416,2664.3884824156,FALSE,TRUE
"1478",2020-07-16,"positive","CO",38155,"Training",33222.744013176,35955.14331172,37477.16283968,39008.98661568,42610.09699856,TRUE,TRUE
"1479",2020-07-17,"death","CO",1615,"Training",1489.729575366,1747.196183348,1939.833100968,2170.844795608,2681.3259327704,FALSE,TRUE
"1480",2020-07-17,"positive","CO",38726,"Training",33567.951442696,36349.40077512,37886.724144,39348.5072934,42992.315824352,TRUE,TRUE
"1481",2020-07-18,"death","CO",1615,"Training",1501.5706883292,1762.435238488,1955.53717404,2184.739185892,2699.7764910092,FALSE,TRUE
"1482",2020-07-18,"positive","CO",39344,"Training",33911.29592112,36724.65440972,38271.49408984,39701.99290592,43405.739800844,TRUE,TRUE
"1483",2020-07-19,"death","CO",1615,"Training",1513.6525164572,1776.074804704,1969.813080584,2200.251780992,2719.9905181796,FALSE,TRUE
"1484",2020-07-19,"positive","CO",39788,"Training",34271.553807176,37139.64332272,38704.69500544,40106.96161828,43824.804459248,TRUE,TRUE
"1485",2020-07-20,"death","CO",1615,"Training",1525.9741959396,1791.071992932,1983.277005352,2215.627606112,2740.7880492752,FALSE,TRUE
"1486",2020-07-20,"positive","CO",40142,"Training",34632.318462,37496.75693892,39127.35743416,40526.6007106,44257.576349016,TRUE,TRUE
"1487",2020-07-21,"death","CO",1615,"Training",1538.5532909212,1804.904476804,1998.805436976,2231.62537472,2762.4200212172,FALSE,TRUE
"1488",2020-07-21,"positive","CO",40566,"Training",34989.692661004,37889.79067092,39574.72484032,40934.20404468,44756.950899992,TRUE,TRUE
"1489",2020-07-22,"death","CO",1643,"Training",1551.3810193296,1820.375321068,2014.028655592,2247.9225976,2784.9170992748,FALSE,TRUE
"1490",2020-07-22,"positive","CO",41059,"Training",35361.983425932,38291.54888796,40005.76622992,41348.34354412,45240.290250576,TRUE,TRUE
"1491",2020-03-19,"death","CT",1,"Training",0.1,19.8314543634075,29.256762948435,39.73958022375,65.836037122515,FALSE,TRUE
"1492",2020-03-19,"positive","CT",96,"Training",18.5821448197027,59.10835837995,96.99808944375,140.659039706625,287.18354697417,TRUE,TRUE
"1493",2020-03-20,"death","CT",3,"Training",0.1,27.4636285914375,39.13918589295,51.563943691425,85.1807585046825,FALSE,TRUE
"1494",2020-03-20,"positive","CT",194,"Training",33.117526673847,85.154295161925,132.9716570094,193.19559369165,387.453375512775,FALSE,TRUE
"1495",2020-03-21,"death","CT",4,"Training",3.736902089745,34.2082602736875,49.25996609985,65.057841929025,101.316766152938,FALSE,TRUE
"1496",2020-03-21,"positive","CT",194,"Training",47.6679139296525,119.721000477375,181.16916758325,258.19398445995,500.40460903455,TRUE,TRUE
"1497",2020-03-22,"death","CT",5,"Training",17.890257202587,42.753762985725,61.71351359085,80.735300189775,128.364120747472,FALSE,FALSE
"1498",2020-03-22,"positive","CT",223,"Training",77.7923607752775,168.493770108675,243.3319073361,342.58896262305,633.354785189775,TRUE,TRUE
"1499",2020-03-23,"death","CT",10,"Training",21.401166445263,51.3711507969,74.9009754108,97.1761755294,160.874689397152,FALSE,FALSE
"1500",2020-03-23,"positive","CT",415,"Training",107.744773609935,227.562910331625,324.366245973,453.2852412495,809.729711344125,TRUE,TRUE
"1501",2020-03-24,"death","CT",12,"Training",27.770940287046,62.764292801925,90.40658683815,114.922837232775,196.356407794718,FALSE,FALSE
"1502",2020-03-24,"positive","CT",618,"Training",152.898358015013,303.954888765825,435.995381943,585.10548882225,1021.91313227603,FALSE,TRUE
"1503",2020-03-25,"death","CT",19,"Training",33.5118643511602,75.128173324875,105.2932644423,134.682014315475,225.81854018757,FALSE,FALSE
"1504",2020-03-25,"positive","CT",875,"Training",210.693683585385,404.18143472025,568.4333154885,755.22494067075,1263.1622880789,FALSE,TRUE
"1505",2020-03-26,"death","CT",21,"Training",42.2222767394175,88.567344407025,122.4055724562,157.4494914366,267.56815791618,FALSE,FALSE
"1506",2020-03-26,"positive","CT",1012,"Training",285.588339524977,533.01664575225,738.2907187425,967.005662436,1593.45778459725,FALSE,TRUE
"1507",2020-03-27,"death","CT",27,"Training",50.798191349565,103.257842094,140.5949536728,181.812969283275,306.18788149323,FALSE,FALSE
"1508",2020-03-27,"positive","CT",1291,"Training",387.710610969825,690.30641233125,942.3320937525,1238.231305674,2011.21137560475,FALSE,TRUE
"1509",2020-03-28,"death","CT",27,"Training",61.01717738688,119.57170408425,159.9979585842,207.4351717053,348.854473211805,FALSE,FALSE
"1510",2020-03-28,"positive","CT",1291,"Training",533.313455895,904.88321042625,1201.690679211,1575.8051573385,2463.82215368603,TRUE,TRUE
"1511",2020-03-29,"death","CT",34,"Training",73.69227181206,135.852498037575,183.6618379893,234.05556535515,398.668877093025,FALSE,FALSE
"1512",2020-03-29,"positive","CT",1993,"Training",711.68708194155,1158.41255163975,1508.112835713,1942.42629351375,2985.65788114192,FALSE,TRUE
"1513",2020-03-30,"death","CT",36,"Training",88.3830101559075,153.99348048315,206.9695452231,266.5704480021,451.077704671275,FALSE,FALSE
"1514",2020-03-30,"positive","CT",2571,"Training",922.9223147958,1488.9618965925,1894.4491176765,2382.89789328525,3600.4032943065,FALSE,TRUE
