"date","numDate","state","fips","variable","value"
2020-03-26,86,"NY",36,"positiveIncrease",6447
2020-03-26,86,"OH",39,"positiveIncrease",163
2020-03-26,86,"OK",40,"positiveIncrease",84
2020-03-26,86,"OR",41,"positiveIncrease",118
2020-03-26,86,"PA",42,"positiveIncrease",560
2020-03-26,86,"PR",72,"positiveIncrease",13
2020-03-26,86,"RI",44,"positiveIncrease",41
2020-03-26,86,"SC",45,"positiveIncrease",32
2020-03-26,86,"SD",46,"positiveIncrease",5
2020-03-26,86,"TN",47,"positiveIncrease",173
2020-03-26,86,"TX",48,"positiveIncrease",422
2020-03-26,86,"UT",49,"positiveIncrease",56
2020-03-26,86,"VA",51,"positiveIncrease",69
2020-03-26,86,"VI",78,"positiveIncrease",0
2020-03-26,86,"VT",50,"positiveIncrease",25
2020-03-26,86,"WA",53,"positiveIncrease",371
2020-03-26,86,"WI",55,"positiveIncrease",139
2020-03-26,86,"WV",54,"positiveIncrease",12
2020-03-26,86,"WY",56,"positiveIncrease",9
2020-03-27,87,"AK",2,"positiveIncrease",10
2020-03-27,87,"AL",1,"positiveIncrease",81
2020-03-27,87,"AR",5,"positiveIncrease",46
2020-03-27,87,"AZ",4,"positiveIncrease",159
2020-03-27,87,"CA",6,"positiveIncrease",873
2020-03-27,87,"CO",8,"positiveIncrease",344
2020-03-27,87,"CT",9,"positiveIncrease",279
2020-03-27,87,"DC",11,"positiveIncrease",36
2020-03-27,87,"DE",10,"positiveIncrease",33
2020-03-27,87,"FL",12,"positiveIncrease",410
2020-03-27,87,"GA",13,"positiveIncrease",476
2020-03-27,87,"GU",66,"positiveIncrease",6
2020-03-27,87,"HI",15,"positiveIncrease",11
2020-03-27,87,"IA",19,"positiveIncrease",56
2020-03-27,87,"ID",16,"positiveIncrease",66
2020-03-27,87,"IL",17,"positiveIncrease",488
2020-03-27,87,"IN",18,"positiveIncrease",336
2020-03-27,87,"KS",20,"positiveIncrease",34
2020-03-27,87,"KY",21,"positiveIncrease",50
2020-03-27,87,"LA",22,"positiveIncrease",441
2020-03-27,87,"MA",25,"positiveIncrease",833
2020-03-27,87,"MD",24,"positiveIncrease",194
2020-03-27,87,"ME",23,"positiveIncrease",13
2020-03-27,87,"MI",26,"positiveIncrease",1324
2020-03-27,87,"MN",27,"positiveIncrease",75
2020-03-27,87,"MO",29,"positiveIncrease",167
2020-03-27,87,"MS",28,"positiveIncrease",94
2020-03-27,87,"MT",30,"positiveIncrease",37
2020-03-27,87,"NC",37,"positiveIncrease",127
2020-03-27,87,"ND",38,"positiveIncrease",13
2020-03-27,87,"NE",31,"positiveIncrease",12
